"cafeno","name","address","business_hours","tel"
"38563","나인어클락 서울시립대점","서울 동대문구 전농로 222","","02-2213-3314"
"38567","카페 에이투","서울 동대문구 서울시립대로 36 3층","매일 09:00 ~ 22:00","02-3394-6588"
"38596","동아다방","서울 동대문구 홍릉로 16","",""
"38598","빈스반스 청량리점","서울 동대문구 홍릉로 20 1층","",""
"38605","카페엘림","서울 동대문구 답십리로 86","",""
"38613","동부다방","서울 동대문구 왕산로32길 48","","02-966-0721"
"38623","궁전커피숍","서울 동대문구 왕산로 157","","02-968-3666(팩스)"
"38630","커피디셈버 동대문구청점","서울 동대문구 고산자로30길 32 1층","",""
"38631","꿀스커피 동대문점","서울 동대문구 왕산로28길 55 1층","",""
"38635","청산다방","서울 동대문구 약령시로 147","","02-966-8820"
"38639","청과다방","서울 동대문구 경동시장로 13-1","",""
"38642","반하다","서울 동대문구 고산자로34가길 31 1층","","02-6339-7952"
"38651","카리스","서울 동대문구 제기로 148","월~토 11:00 ~ 23:00","02-598-0554"
"38652","이디야커피 서울시립대점","서울 동대문구 서울시립대로 164","월~금 08:00 ~ 24:00","02-2248-7618"
"38656","투썸플레이스 답십리사거리점","서울 동대문구 답십리로 150 1층","매일 09:00 ~ 23:30","070-8880-8526"
"38662","우더스커피바","서울 동대문구 천호대로37길 11 1층","",""
"38663","토프레소 용두역점","서울 동대문구 고산자로 397 101호","","02-962-0010"
"38673","롬카페","서울 동대문구 답십리로 140","","070-4412-6788"
"38675","참다정","서울 동대문구 약령중앙로 26 서울한방진흥센터 1층","","02-967-9232"
"38680","쥬씨 용두역점","서울 동대문구 천호대로 129","","02-957-2263"
"38681","이디야커피 전농사거리점","서울 동대문구 사가정로 132","매일 09:00 ~ 22:30","02-3394-8128"
"38682","미스터마카롱 전농점","서울 동대문구 전농로14길 47 1층","","02-6015-6465"
"38691","요거프레소 전농사거리점","서울 동대문구 사가정로 122 전농동하우스스토리 106호","매일 10:00 ~ 23:00","02-2244-1717"
"38711","추억찻집","서울 동대문구 제기로20길 40","",""
"38716","커피베이 청량리점","서울 동대문구 제기로21길 3-9 1층","","02-963-5454"
"38719","철탑다방","서울 동대문구 약령중앙로 18","","02-966-4162"
"38732","에이레네주스","서울 동대문구 사가정로 119","",""
"38734","베르떼","서울 동대문구 답십리로 162-1","","02-3394-5704"
"38756","카페후츄","서울 동대문구 망우로6길 45","","02-969-2113"
"38765","오전오후","서울 동대문구 답십리로48길 78","","070-4351-7149"
"38766","블랑슈가","서울 동대문구 제기로 40 1층","영업시간 월~토 12:00 ~ 23:00",""
"38767","카페리예몬","서울 동대문구 답십리로51길 20-1","","02-3394-5265"
"38768","석다방","서울 동대문구 황물로 137","",""
"38775","샌드백","서울 동대문구 망우로10길 49","","02-2217-9100"
"38778","민스커피","서울 동대문구 전농로16길 54","",""
"38782","둘카페","서울 동대문구 답십리로48길 76","","02-6339-8773"
"38786","루비","서울 성동구 청계천로10나길 69","","070-4307-8659"
"38791","버니빙스","서울 성동구 고산자로 327","","02-2295-1981"
"38792","에싸임","서울 동대문구 천호대로17길 39","","02-924-9836"
"38794","더스타일","서울 성동구 용답중앙11길 13","",""
"38816","핸섬로스팅커피","서울 동대문구 고산자로56길 17","",""
"38819","카페타세","서울 동대문구 회기로 112","","02-965-3522"
"38831","운치","서울 동대문구 고산자로56길 32-1","화~일 10:00 ~ 22:00","02-969-0035"
"38834","순자카페","서울 동대문구 회기로16길 5 1층","",""
"38840","안","서울 동대문구 망우로18다길 27-4 1층","",""
"38848","스트라다에스프레소","서울 동대문구 청계천로 509","","02-922-6351"
"38855","서가미트델리","서울 성동구 마장로40길 4-2","",""
"38879","핑키썹","서울 동대문구 회기로 114","",""
"38887","스타벅스 회기역사거리점","서울 동대문구 이문로 37 회기 한일 베라체캠퍼스 1층","월~금 07:00 ~ 21:30","1522-3232"
"38895","백씨네콩다방","서울 동대문구 회기로21길 3 2층","","02-6101-7934"
"38907","금농","서울 동대문구 회기로 52","","02-959-2999"
"38908","피카커피","서울 성북구 고려대로30길 29","매일 10:00 ~ 23:00","02-6339-3537"
"38909","카페끄망","서울 동대문구 제기로5길 46","월~금 10:00 ~ 22:00",""
"38912","달콤퐁당 고대점","서울 동대문구 안암로24길 8","",""
"38921","역시커피","서울 동대문구 회기로 28","화~금 08:00 ~ 19:00",""
"38933","커피애드립","서울 동대문구 망우로12가길 2","","02-2245-3229"
"38934","더치앤빈 안암점","서울 동대문구 안암로 104","월~금 08:30 ~ 21:00","02-924-9377"
"38936","가비","서울 동대문구 무학로 125-1","","070-7698-0122"
"38939","카페아트먼트","서울 동대문구 안암로 86-1 크리에이터스 스페이스 1층","월~금 11:00 ~ 23:00","010-8076-4141"
"38950","카페코니니","서울 동대문구 황물로 168","월~금 10:00 ~ 20:00",""
"38957","엘가","서울 동대문구 약령시로 6","","02-927-3777"
"38960","스타벅스 고대점","서울 성북구 고려대로24길 51 1층 & 2층","월~토 08:00 ~ 21:30","1522-3232"
"38965","유유커피","서울 성동구 마조로11길 7 1층","매일 11:00 ~ 23:30",""
"38998","배트콩","서울 동대문구 경희대로4길 50","월~금 08:00 ~ 22:00",""
"39003","모즈플레이스","서울 동대문구 경희대로3길 11 2층","","02-6015-3085"
"39005","카페루","서울 동대문구 왕산로 52 대우아이빌 1층","","070-7736-7888"
"39009","커피하우스","서울 동대문구 황물로 168","",""
"39010","카페드넬","서울 동대문구 회기로19길 23 1층","월~금 08:30 ~ 22:00","070-8865-1470"
"39019","팔공티 전농사거리점","서울 동대문구 전농로 156 1호","",""
"39024","윤언니네카페","서울 동대문구 전농로16길 54","","02-2243-0525"
"39040","학커피숍","서울 동대문구 전농로17길 3","","02-2215-8914"
"39054","이디야커피 답십리사거리점","서울 동대문구 답십리로 154 1층","월~금 08:00 ~ 23:30","02-2244-7579"
"39061","까로치아 답십리점","서울 동대문구 답십리로 209 힐스포츠파크 1층","",""
"39073","멜로우시티","서울 동대문구 서울시립대로 90 1층","","02-6406-8036"
"39090","현대커피숍","서울 동대문구 한천로 206","",""
"39100","커피에반하다 서울시립대점","서울 동대문구 전농로 222","",""
"39102","카페티움","서울 동대문구 전농로3길 56","","02-443-1563"
"39103","보그너커피","서울 동대문구 서울시립대로12길 23","",""
"39104","한성카페","서울 동대문구 답십리로 94","","02-2215-3913"
"39125","바로나도","서울 동대문구 전농로 43","영업시간 매일 12:00 ~ 22:00",""
"39202","카페비전농점","서울 동대문구 서울시립대로 84-1","",""
"39215","커피베이 동대문더퍼스트데시앙점","서울 동대문구 장한로27가길 37 상가동 107호","",""
"39218","더치앤빈 답십리점","서울 동대문구 전농로 36 지하1층","","02-3394-6156"
"39220","다빼드림 답십리점","서울 동대문구 한천로11길 6 2층 202호","월~토 09:30 ~ 20:00","02-3394-6312"
"39226","쿠니네","서울 동대문구 답십리로 102","",""
"39241","바카의 집","서울 동대문구 전농로 233","","02-2243-2286"
"39245","커피나무","서울 동대문구 망우로18길 28","","070-8117-1888"
"39248","티그라운드","서울 동대문구 사가정로 272 1층","월~금 08:00 ~ 23:00","02-6014-0770"
"39261","요거프레소 장안1호점","서울 동대문구 장한로32길 27","매일 10:00 ~ 23:00","02-2217-1988"
"39267","카페브레멘","서울 동대문구 왕산로 293 1층","월~금 08:30 ~ 21:00",""
"39277","블링블링슬라임","서울 동대문구 장한로28길 14 3층","","02-3394-8839"
"39279","파리","서울 동대문구 전농동 496-1","",""
"39287","리본&볼","서울 동대문구 답십리로 266 지하1층","",""
"39288","커피노트","서울 동대문구 천호대로 241 청계벽산메가트리움 101동 109호","월~금 08:00 ~ 20:30",""
"39289","허슬블렌딩","서울 동대문구 망우로18가길 5-9","","070-7583-9655"
"39305","이안엘앤티 청량리역사지점","서울 동대문구 왕산로 214","","02-1544-7727"
"39316","행운","서울 동대문구 황물로 47","","02-3394-6066"
"39330","빅문","서울 동대문구 회기로26길 6 지하1층","영업시간 월~금 18:00 ~ 01:00",""
"39331","까까롱","서울 동대문구 이문로1길 27 1층","",""
"39333","아이스빈 경희대점","서울 동대문구 회기로 186-1","","02-961-6899"
"39347","비지비키즈카페","서울 동대문구 답십리로 302 4층","","02-2212-4515"
"39348","24시프리카페 경희대점","서울 동대문구 이문로 37 베라체캠퍼스빌딩 2층","","0507-1451-1712"
"39362","리드스트리트커피","서울 동대문구 회기로 166","매일 08:00 ~ 24:00",""
"39380","다크빈","서울 동대문구 제기로 130-1","",""
"39384","맘스카페모모 장안점","서울 동대문구 답십리로 308","",""
"39389","카페뜨랑","서울 동대문구 왕산로43다길 9-3","","02-6949-3928"
"39397","프리카페 경희대점","서울 동대문구 이문로 37","","02-969-0427"
"39409","카페237","서울 동대문구 한천로 26-1 1층","",""
"39413","동다방","서울 동대문구 약령시로 126","",""
"39430","양지커피숍","서울 성동구 용답중앙13길 16-1 지하1층","",""
"39437","카페메모아르","서울 동대문구 회기로 156","월~토 11:00 ~ 21:00",""
"39445","리카페","서울 동대문구 이문로 50","",""
"39450","커피니 청량리점","서울 동대문구 왕산로 168 삼성화재 청량리사옥 1층","월~금 08:00 ~ 19:00","02-965-1325"
"39465","캐치카페 경희로점","서울 동대문구 경희대로 2 2층","영업시간 월~금 12:00 ~ 22:00","070-4231-0177"
"39468","나무사이","서울 동대문구 회기로 153","","02-957-7123"
"39485","고소운","서울 동대문구 휘경로2길 8","매일 11:30 ~ 22:00",""
"39488","너나들이 만화카페","서울 동대문구 회기로13길 19 지하 1층","매일 11:00 ~ 24:00","070-8830-0331"
"39496","베브릿지 경희대점","서울 동대문구 경희대로 9-1 1층","","02-6015-2581"
"39503","커피빈 경희대점","서울 동대문구 경희대로 10","월~금 07:00 ~ 23:00","02-3295-4552"
"39509","카페솔로","서울 동대문구 천호대로85길 63 1층","","070-7703-6659"
"39517","더빙스커피","서울 동대문구 전농로3길 78-1","매일 09:00 ~ 23:00",""
"39519","37.5 답십리점","서울 동대문구 답십리로 130 102동 1층 8호","매일 09:30 ~ 21:30","02-2212-3705"
"39520","카페아셀 강북점","서울 동대문구 전농로 24","","02-2213-2216"
"39531","카페파로","서울 동대문구 사가정로 6 청계지웰에스테이트1층","월~토 10:00 ~ 22:00","02-6215-7266"
"39534","노리파크 답십리점","서울 동대문구 사가정로 51 2층","매일 10:00 ~ 20:00",""
"39538","커피마마 답십리역점","서울 동대문구 천호대로 289 한일노벨리아 1층 106호","","02-2215-3505"
"39540","카페아스테르","서울 동대문구 사가정로2길 142 1층","화~금 09:00 ~ 21:00","070-7576-1040"
"39541","커피첼리나","서울 동대문구 천호대로 317","","02-3394-9005"
"39559","태양기름집","서울 성동구 용답중앙길 25","",""
"39565","주노샌드","서울 동대문구 답십리로30길 20 1층","",""
"39568","이디야커피 전농뉴타운점","서울 동대문구 답십리로 77","매일 08:00 ~ 23:30","02-926-6634"
"39573","마주보고까페","서울 성동구 마장로42길 11 1층","","02-2286-7243"
"39584","이디야커피 답십리로데오점","서울 성동구 용답19가길 24","월~금 08:00 ~ 23:00","02-3394-8349"
"39586","미선다방","서울 동대문구 전농로 50","",""
"39593","하울까페","서울 성동구 마장로35길 76 현대아파트상가 1층 113호","월~금 08:30 ~ 22:00","02-2282-0999"
"39614","한우타운카페&호프","서울 성동구 마장로37길 59 3층","","02-2291-6666"
"39620","달빛카롱","서울 동대문구 답십리로51길 31 1층","월~금 11:00 ~ 21:00",""
"39631","플레이점프","서울 성동구 마장로 289","매일 11:00 ~ 21:00",""
"39632","카페우유니","서울 성동구 사근동길 59 효성빌딩 1층","매일 10:00 ~ 23:00","070-4256-8376"
"39635","이디야커피 답십리파크자이점","서울 동대문구 한천로 55","","02-3390-4139"
"39637","빌리엔젤 롯데백화점영플라자 청량리점","서울 동대문구 왕산로 214 롯데백화점영플라자 청량리점 지하 2층","월~목 10:30 ~ 20:00","02-3707-1949"
"39638","하품","서울 성동구 살곶이2길 28","화~토 10:00 ~ 20:00",""
"39639","달콤한카페","서울 성동구 고산자로 337-2","","02-2298-7100"
"39645","이디야커피 마장동점","서울 성동구 고산자로 339-2","매일 08:00 ~ 22:00","02-2299-2922"
"39653","카페나이야가라","서울 동대문구 답십리로23길 58 1층","","02-6348-0057"
"39665","빽다방 청량리역점","서울 동대문구 왕산로 209 1층","월~토 08:00 ~ 23:00","02-3293-0032"
"39670","공차 롯데청량리점","서울 동대문구 왕산로 214 지하2층 식품관","월~목 10:30 ~ 20:00","02-3707-2012"
"39685","플레이스308","서울 성동구 고산자로 308 1층","","02-6405-4223"
"39687","카페중원","서울 성동구 사근동10길 14 1층","",""
"39720","더착한커피 전농점","서울 동대문구 전농로 155","","02-2213-3805"
"39729","빈스앤와플","서울 동대문구 왕산로 214","","02-3707-1364"
"39742","사랑방","서울 동대문구 왕산로32길 26","",""
"39748","서진다방","서울 동대문구 고산자로34길 12","",""
"39749","카페드림 한양여자대학교본관점","서울 성동구 살곶이길 200 1층","","02-2291-6451"
"39751","커피엔진","서울 성동구 고산자로 284","","02-3395-0908"
"39754","카페옹기종기","서울 동대문구 답십리로60길 129","",""
"39762","홀릭앤틱","서울 성동구 고산자로 284 1층 128호","월~토 12:00 ~ 22:00","010-7547-8086"
"39765","청량리커피숍","서울 동대문구 왕산로 175-2 2층","","02-957-8813"
"39770","W카페","서울 동대문구 왕산로40길 8-1","","02-962-3230"
"39772","MAZORO","서울 성동구 마조로 30 미진빌딩 2층","","02-2282-0665"
"39779","애즈유주얼","서울 동대문구 천호대로79길 53 103호","",""
"39789","스위트밀비어드파파왕십리민자역사점","서울 성동구 행당동 168-1","","02-2200-1313"
"39794","커피브로치","서울 동대문구 답십리로23길 129","",""
"39796","홈스테드 엔터식스왕십리점","서울 성동구 왕십리광장로 17 엔터식스1층","매일 09:00 ~ 23:00","02-2200-6023"
"39797","O'too 한양대점","서울 성동구 마조로5길 4-16","",""
"39820","커피마마 왕십리역점","서울 성동구 마조로1가길 1","",""
"39824","대화의집","서울 성동구 무학로8길 42-2","",""
"39826","컴바이","서울 성동구 왕십리광장로 17 왕십리민자역사 4층","",""
"39829","그라찌에","서울 성동구 고산자로 270","","02-2291-7241"
"39830","아띠오레","서울 성동구 왕십리광장로 17 왕십리 Enter6 지하 1층","","02-2200-6113"
"39843","카페숲","서울 동대문구 고산자로36길 3 경동시장 신관 2층","",""
"39850","더코드 왕십리점","서울 성동구 마조로3가길 15 4층","영업시간 월~목 13:00 ~ 23:00","02-2291-7981"
"39861","까페라니","서울 성동구 행당동 168-200","",""
"39862","빈스바네스 청량리점","서울 동대문구 홍릉로 20","","02-968-1232"
"39873","일로하카페","서울 동대문구 정릉천동로 58","","070-7582-1550"
"39887","아마스빈 서울시립대점","서울 동대문구 전농로 210 1층","","02-3394-7972"
"39892","멜로우(mellow)","서울 동대문구 천호대로83길 43","","02-918-1957"
"39893","카페인중독 전농점","서울 동대문구 전농로 207","","070-8614-5931"
"39906","9카페","서울 동대문구 장한로 3 승원빌딩 1층","","02-3394-7878"
"39908","커피온리 서울시립대점","서울 동대문구 전농로 212 1층","월~금 08:00 ~ 21:00",""
"39909","투썸플레이스 한양대학생복지관점","서울 성동구 왕십리로 222 한양대학교 학생복지관 1층","매일 07:00 ~ 21:00","02-2292-8880"
"39916","디에쉐르","서울 동대문구 장한로 37","","02-2243-8933"
"39918","38에비뉴 장안점","서울 동대문구 천호대로83길 10","",""
"39919","그라운드제로","서울 성동구 마조로3길 7-1 1층","","02-2297-0666"
"39922","쥬씨 시립대점","서울 동대문구 전농로 212","",""
"39930","풍경찻집","서울 동대문구 왕산로 112-5","","02-967-9944"
"39967","브라우나비 한양대점","서울 성동구 왕십리로 222 한양대학교 한양플라자 3층","",""
"39985","크림라벨","서울 성동구 상원10길 7-1","화~일 12:00 ~ 20:00","0507-1316-1832"
"39986","톤톤","서울 동대문구 답십리로63길 11","월~토 10:00 ~ 21:00",""
"39998","다보드레","서울 동대문구 약령중앙로 26","","070-8247-5000"
"40004","설빙 장안점","서울 동대문구 장한로 130 2층","매일 10:00 ~ 23:00","02-2214-7781"
"40015","커피그라운즈","서울 동대문구 답십리로48길 57","영업시간 월~금 15:00 ~ 21:30","02-478-8470"
"40020","38에비뉴","서울 동대문구 답십리로56길 124","",""
"40030","스윙바이카페","서울 동대문구 답십리로59길 24","",""
"40031","메들리 7080라이브","서울 동대문구 천호대로 343","","02-2242-3464"
"40035","커피답사","서울 동대문구 답십리로 163-1","",""
"40057","퍼스트에스프레소","서울 동대문구 전농로 35 1층 104호","","02-2248-8237"
"40060","문팰리스","서울 동대문구 답십리로64길 103 1층 103호","","02-2244-2356"
"40064","커피델라","서울 동대문구 답십리동 487-21","","070-8627-2102"
"40077","바른커피","서울 동대문구 천호대로81길 8 1층","",""
"40080","탕비실","서울 동대문구 천호대로81길 14 1층","월~금 07:00 ~ 19:00",""
"40081","꽃마실","서울 동대문구 천호대로83길 9","","02-2213-3505"
"40125","블루스카이","서울 성동구 용답중앙15길 15","","02-2217-0289"
"40130","슬로우레빗","서울 성동구 용답중앙13길 15-1 1층","","02-2247-7772"
"40140","견우","서울 동대문구 장한로 126 3층","매일 12:00 ~ 22:00","010-7517-2325"
"40154","커피랑도서관 전농점","서울 동대문구 전농로 127-1 2층, 3층","월~금 08:00 ~ 01:00","02-2243-1140"
"40163","서울새활용플라자 카페","서울 성동구 자동차시장길 49","매일 09:00 ~ 18:00","02-2153-0400"
"40167","라웃드어바웃 장안사거리점","서울 동대문구 답십리로 241 1층 141-24호","","02-2216-6975"
"40179","죽&커피 장안점","서울 동대문구 답십리로67길 2","","02-2245-7285"
"40201","슬로우슬라임 장안점","서울 동대문구 답십리로72길 36","월~금 11:00 ~ 21:00","02-3394-6332"
"40204","원만화카페","서울 동대문구 장안벚꽃로 107 지하1층","","070-4711-3153"
"40208","커피이야기","서울 동대문구 전농로 130","","070-8117-6318"
"40212","드간데메","서울 동대문구 답십리로38길 19 B동 지하1층","월~토 10:00 ~ 19:30","070-8890-6644"
"40213","딜리커피","서울 동대문구 사가정로 37-1","",""
"40218","아리수","서울 동대문구 천호대로 247","","02-2244-7112"
"40221","카페어반테라스","서울 동대문구 장안벚꽃로 167","월~금 09:00 ~ 20:00",""
"40235","카페제네","서울 동대문구 사가정로 147","","070-4239-9183"
"40260","디저트미","서울 동대문구 답십리로 77","",""
"40262","커피니 장안점","서울 동대문구 사가정로 214 2층","매일 10:00 ~ 23:00","02-3394-7713"
"40282","번트시에나","서울 광진구 동일로66길 14 1층","월~금 08:00 ~ 20:00","02-6368-9095"
"40291","카페꼬모 cafe como","서울 성동구 사근동길 55","",""
"40311","카페드림 한양여자대학교행원스퀘어점","서울 성동구 살곶이길 200 한양여자대학교 행원스퀘어 지하 1층","","02-2298-6451"
"40313","도노커피배봉산숲속도서관","서울 동대문구 한천로43길 12-9","","070-4334-4770"
"40320","딜리커피","서울 동대문구 서울시립대로 88 1층","매일 09:30 ~ 21:30","010-9005-4493"
"40327","골드스마일","서울 동대문구 서울시립대로 31","",""
"40360","차담소","서울 중랑구 동일로 467 1층","월~금 10:30 ~ 22:00","070-7797-0298"
"40364","어니언","서울 성동구 아차산로9길 8","월~금 08:00 ~ 22:00",""
"40367","카페레디언트","서울 광진구 능동로38길 41 101호","월~금 08:00 ~ 23:00","02-2201-0204"
"40379","티티로","서울 광진구 면목로 163 1층","","02-1588-6193"
"40385","DUTCHPAY","서울 광진구 긴고랑로7길 9","월~토 10:00 ~ 20:00","02-867-4588"
"40391","카페베네 청량리역점","서울 동대문구 왕산로 224","매일 08:00 ~ 24:00","02-960-6232"
"40398","오앤디","서울 동대문구 망우로12가길 17 1층","매일 11:00 ~ 22:00","0507-1313-3675"
"40411","메가커피 왕십리점","서울 성동구 마조로1길 42 1층","월~금 08:00 ~ 23:00",""
"40425","아마스빈 서울한양대점","서울 성동구 마조로 29 1층","","02-2294-7770"
"40427","어반소스","서울 성동구 연무장3길 9","매일 11:00 ~ 23:00","02-462-6262"
"40428","더박스 건대본점","서울 광진구 광나루로 369 광진두산위브파크 2층 211, 212호","월~금 12:00 ~ 24:00","02-3409-4635"
"40435","팀메리","서울 성동구 마조로11길 5 1층","월~금 10:00 ~ 20:30","02-2291-0065"
"40438","스타벅스 왕십리역점","서울 성동구 왕십리로 326","월~토 07:00 ~ 22:00","1522-3232"
"40466","카페히릿","서울 광진구 광나루로 404 3층","매일 11:00 ~ 22:00","070-8870-4442"
"40475","하루앤원데이","서울 성동구 아차산로 92 광명타워 1층","월~금 08:00 ~ 23:00","02-499-9303"
"40476","솔지오파네테리아카페","서울 동대문구 왕산로 249-1","매일 08:00 ~ 22:00","02-6215-6085"
"40479","보그너커피 중곡점","서울 광진구 능동로 399","",""
"40489","아이카페70","서울 성동구 왕십리로 222","",""
"40510","공차 왕십리역사점","서울 성동구 왕십리광장로 17 2층 A-09 ","월~금 10:30 ~ 22:30","02-2297-3004"
"40514","탐앤탐스 장한평역점","서울 동대문구 장한로 20 1층","매일 00:00 ~ 24:00","02-2247-8899"
"40520","이디야커피 촬영소사거리점","서울 동대문구 답십리로 264","매일 08:00 ~ 24:00","02-2217-1002"
"40553","장일다방","서울 동대문구 답십리로66길 25","","02-212-4639"
"40562","울트라커피","서울 동대문구 천호대로91길 42","",""
"40583","몬스터츄커피","서울 동대문구 장한로 129 1층","",""
"40584","로씨오","서울 동대문구 한천로 42","","070-4132-5577"
"40585","투샷","서울 동대문구 한천로24길 74-1 진성빌딩 1층","","02-2212-4111"
"40596","메가커피 장안점","서울 동대문구 장한로 116 풍양빌딩 1층","매일 10:00 ~ 01:00","02-2215-0060"
"40601","매뉴팩처","서울 동대문구 한천로 121-5 1층","월~금 08:30 ~ 19:00",""
"40603","투썸플레이스 장안동사거리점","서울 동대문구 답십리로 273","매일 08:00 ~ 23:00","02-2212-9027"
"40610","주라","서울 동대문구 답십리로56길 105 1층","",""
"40624","커피공방","서울 동대문구 장한로26다길 21","",""
"40630","매머드커피 장안비바패밀리점","서울 성동구 천호대로 400","월~금 08:00 ~ 20:00","070-4242-3214"
"40634","투썸플레이스 답십리점","서울 동대문구 고미술로 81 1층","매일 08:00 ~ 23:30","070-7554-5045"
"40650","일카페","서울 성동구 자동차시장1길 39 1층 102호","","070-8958-6176"
"40658","라니","서울 동대문구 장한로 140","","070-4132-3423"
"40662","할리스커피 답십리점","서울 성동구 천호대로 302","매일 07:00 ~ 23:00","02-2246-2312"
"40707","커피니 여의도순복음성동교회점","서울 성동구 천호대로 316","매일 07:00 ~ 23:00","02-2212-4778"
"40717","꼬물수제청카페","서울 동대문구 답십리로69길 45","","02-6080-5606"
"40722","더키즈 프리미엄키즈카페","서울 광진구 면목로 57 경원타운 3층 301호","화~금 11:00 ~ 20:00","02-464-0783"
"40723","탭플레이 중곡점","서울 광진구 면목로 131 1층","매일 08:00 ~ 23:00","02-466-6303"
"40729","플랜트커피","서울 동대문구 장한로28가길 70","",""
"40739","샬롬153","서울 동대문구 천호대로 295 지하1층 39호","",""
"40749","커피&톡","서울 동대문구 답십리로65길 124-1","",""
"40760","JE카페","서울 광진구 면목로 121","","02-493-2857"
"40761","알레데이아커피","서울 광진구 천호대로101길 33","","02-463-1022"
"40767","카페375 답십리점","서울 동대문구 답십리로 130","",""
"40789","지니어스카페","서울 동대문구 사가정로13길 3","매일 09:30 ~ 22:30","02-6439-3339"
"40805","소목","서울 성동구 용답중앙11길 2","",""
"40818","담소","서울 광진구 면목로 52","","02-497-1775"
"40824","카페토크","서울 광진구 면목로 172","","070-8153-8671"
"40860","카페홀릭","서울 동대문구 천호대로 241","",""
"40862","두레커피숍","서울 성동구 용답1길 10-1","","02-2213-4818"
"40864","그리네","서울 광진구 군자로 139 1층","매일 07:00 ~ 02:00","070-3599-1146"
"40867","어드벤처스튜디오","서울 광진구 동일로 262 2층","","02-704-6207"
"40882","카페정민","서울 동대문구 전농로17길 36 1층","","02-3390-4247"
"40885","일월십사일","서울 광진구 군자로 113 2층","월~금 11:00 ~ 22:00",""
"40911","로쿠커피","서울 광진구 군자로15길 14 1층","월~금 08:30 ~ 19:00",""
"40927","에케","서울 광진구 용마산로22길 16 1층","수 07:30 ~ 20:30","02-444-0909"
"40928","카페온","서울 동대문구 왕산로 276-1","매일 12:00 ~ 23:00",""
"40931","하늘","서울 광진구 군자로 175","","02-464-8749"
"40937","카페코튼","서울 성동구 동일로 139","매일 11:00 ~ 21:00",""
"40948","이디야커피 세종대후문점","서울 광진구 군자로 109","월~금 08:00 ~ 22:40","02-465-2696"
"40980","카페볼드","서울 동대문구 답십리로 68","",""
"40992","커피코","서울 동대문구 천호대로 151 101호","","070-6596-5138"
"41016","쁘띠몽드 장안점","서울 동대문구 한천로 193 3층","화~일 10:00 ~ 20:00","02-2215-7005"
"41017","더크림","서울 동대문구 장한로28길 18","",""
"41030","카페드노보","서울 동대문구 사가정로 222","매일 09:00 ~ 21:00",""
"41041","커피볶는성군","서울 동대문구 답십리로69길 75","","02-3394-7325"
"41053","커피와그림","서울 동대문구 장한로 199","","02-487-9118"
"41060","더로스팅","서울 동대문구 답십리로 313-6 1층","","02-3295-3337"
"41081","카페 브라운","서울 동대문구 한천로 195","",""
"41096","클로버","서울 동대문구 답십리로 272 1층","","02-6397-0275"
"41098","세현커피숍","서울 동대문구 답십리로 252","","02-2247-3611"
"41127","장일커피숍","서울 동대문구 답십리로66길 25","",""
"41138","떼루와 전농점","서울 동대문구 사가정로13길 7","","02-2244-1214"
"41149","카페아미고","서울 중랑구 동일로 467 디자인빌딩 1층","","070-4335-7145"
"41175","에이스보드게임카페","서울 동대문구 전농로 94","",""
"41181","커피프랜즈 & 팔래스도너츠","서울 동대문구 전농로 104","","070-7578-1530"
"41186","수다방","서울 동대문구 한천로 78","","02-2245-5910"
"41189","블루카멜","서울 동대문구 사가정로9길 12 1층","",""
"41190","올유니드커피 면목점","서울 중랑구 겸재로3길 34","",""
"41191","팬더리아","서울 동대문구 전농로20길 30","","02-2213-0414"
"41198","카페눈썹달","서울 중랑구 면목로35길 26","",""
"41209","지하실B1","서울 중랑구 사가정로45길 18","화~일 11:30 ~ 22:00",""
"41222","아지트","서울 동대문구 망우로18가길 3 태영빌딩 2층","월~금 12:00 ~ 23:00","02-2243-6682"
"41227","쉴만한물가","서울 중랑구 사가정로41길 34","","02-494-9944"
"41239","커피식스쥬스식스 답십리사거리점","서울 동대문구 답십리로 151","",""
"41251","ffanci","서울 광진구 동일로 411","",""
"41260","이르다","서울 중랑구 동일로101길 20","",""
"41265","스토리카페","서울 동대문구 전농로3길 106","",""
"41267","개인취향","서울 중랑구 면목로55길 52 1층","월~금 10:00 ~ 21:00","010-3127-4167"
"41268","커피마마 중곡점","서울 광진구 면목로 192 1층","","02-461-0717"
"41271","엄브렐라","서울 광진구 답십리로84길 12 1층","","02-6212-0222"
"41276","드릴스터디","서울 동대문구 망우로 78","","02-6080-2521"
"41281","키즈필키즈카페 동대문점","서울 동대문구 망우로 101","","02-2212-1222"
"41292","와플스토리 서울시립대점","서울 동대문구 서울시립대로 164 도석프라자 102호","월~금 08:00 ~ 21:00",""
"41296","칸틴커피 휘경점","서울 동대문구 망우로 74 1층","","02-3394-7845"
"41299","일상적","서울 중랑구 사가정로49길 34","",""
"41303","상아다방","서울 광진구 면목로 177","",""
"41315","시즌","서울 중랑구 사가정로49길 62 1층","매일 11:00 ~ 22:00",""
"41317","동방다방","서울 동대문구 망우로12길 17","",""
"41372","카페비","서울 동대문구 천호대로77길 94","","02-2249-9932"
"41382","까네지노","서울 동대문구 전농로 43","","02-3394-8542"
"41422","셀렉토커피 장안동점","서울 동대문구 장한로5길 17","","02-3390-3058"
"41423","눈타이드","서울 동대문구 왕산로43가길 2 1층","월~금 11:30 ~ 22:00",""
"41457","메가커피 회기역점","서울 동대문구 회기로 194","",""
