cafeno,name,r1,r2,r3,r4,r5,r6
1242,마이쥬스 디타워점,진짜 과일로 맛내는곳,직접 갈아주는 쥬스!! 가격이 좀 있긴 하지만 대만족~,좋아요,사악한 금액이지만..맛납니다. ^^인위적인 달달함이.아닌 과일에서 느껴지는 건강한 맛이에요,,
1243,카페이든,최고예요,수박주스는 맛이 없습니다. 정말 맛이 안나요 수박씻은 물맛,,,,
1244,올랄라파리,보통이에요,최고예요,사장님 너무 친절하시고 진짜 맛있는 숨은 맛집이에요 ,,,
1246,민트하임,민트성애자로서 너무 기대하고 갔는지 매우 아쉬웠음ㅠ.ㅠ 너무 달고 푸딩은 먹기 불편,주문 잘못 받아서 다른 음료 마심(뜨거운거 주문했는데 차가운거 나옴 ㅡㅡ) 사람이 많고 주문대가 가깝지 않으니 그러려니하고 먹음. 줄서서 있길래 그래도 엄청 맛있나보다 기대했지만 푸딩맛은 닝닝. 민트맛은 음 배.라 아이스크림이 더 나음. 별점 팍 깍은 이유는 컵 홀더 크기도 안맞아 쏟을 뻔한 것도 있고 컵바닥이 안으로 올라와 있음. 음료양은 많지않은데 푸딩...,,,,
1247,위치가든 종각점,인테리어는 예쁜데 여직원이 불친절했어요,,,,,
1249,이디야커피 종로구청점,조금 아쉬워요,좋아요,,,,
1250,휴식카페,저렴함이 강점,음료가 맛있어요 요즘 흑임자오곡라떼에 빠져있는데 존맛탱입니다  번창하세요~,,,,
1252,돈화문로61,"익선동 한옥거리 구경왔다가, 사람이 너무 많아서 밀려나왔는데 바로 옆에 이렇게 분위기 좋은 카페가 있었네요. 복잡한 한옥거리보다 여기가 훨씬 좋은듯.",,,,,
1253,오가다 종로2가인사동점,조용하고 편안한 느낌이예요 한라봉오미자 스파크링 넣어서 마시는거 추천해요 아주 맛있답니다!,밖에서 그냥 차한잔 마시고 가야지 했는데~~ 와우~~ 대단!!^^ 제맘에 딱좋더군요 ㅎㅎ 지나가는길 차한잔 여유 ㅣ^^ 맘에 여유로움도 함께 보내다가세요~~ 강추!!!,,,,
1255,디초콜릿커피앤드 창덕궁점,조금 아쉬워요,40분 정도 공부하기 위해 간 곳. 직원분들이 다소 불편케 했다.,,,,
1259,익선통하다,솔직하게 말씀드리면(여자 선생님께 받았음) 미용 화장법. 관상은 맞는듯하나 사주는 부족한듯합니다 미리 가격 정하고 했음 좋았을텐데 생각보다 더나와서 놀랐네요..그래도 저봐주시느라 고생하셨습니다,여자선생님께 상담 받았는데 다 너무 잘 맞아서 신기했어요ㅎㅎ 좋은 말씀 많이 해주셔서 감사해요! 친구들한테도 추천했어요 다음에 또 가려구요 >.< !!!,사주가 하나도안맞고 말씀을 너무못하십니다.. 사주에관한얘기는 전혀안하고 그냥 잡담만 하네요 돈아까워 혼났습니다,멋지고 예쁜 실내 인테리어 ~! 포토죤이 인증샷을 찍기에 최고입니다 !!,,
1260,소소,사장님들 엄청 활기차시고 친절하고 좋아요! :-),인사가 부담스럽긴 하지만 맛 가격 모두 만족!,맛 가격 친절 모두쨩!,이 집 혜자임 이 가격에 이런 퀄리티 다른데선 안나옴,,
1261,더커먼,장난하나ㅋㅋ 대학축제포차 분위기처럼 꾸며놓고 마치 감성인 것마냥 꾸며놓고 가격 미쳤고요. 주말에 오면 제대로 구비도 안해놓고 없는 메뉴 천지. 알바 주방 전부 핸드폰만 만지작대고 추가주문 하려고 하면 아무도 듣질 않네요. 이럴거면 벨이라도 만들어 놓든가 ㅋㅋㅋ 노래는 왜 또 개크게 틀어놨어ㅋㅋ 장사할 준비가 안되어있음. 그냥 총체적난국,,,,,
1264,베버리지랩,낮에는 커피. 밤에는 간단하게 맥주 먹을 수 있는 곳인데 둘다 맛있고 좋았어요,"낮에는 커피, 저녁에는 가볍게 맥주를 즐길 수 있는 카페&펍입니다. 에일 맥주와 라거맥주가 있고 감자튀김이나 간단한 마른안주들이 있습니다.",커피도맛있고분위기도좋아요,좋아요,보통이에요,
1266,브리오슈도레 종로타워점,"일 도중에 주문받아서 손님에게 짜증내는건가? 빵 가져갈거라고 하니 짜증내며 봉투를 자기가 낚아채듯이 가져가다 찢어놓고, 손님한테 새 봉투를 던지면서 알아서 넣으라는 이 아침알바는 제정신인가요? 그럴거면 오픈을 왜 하는지? 사장님 이런 알바쓰시면 가게 망합니다. 정신 차리세요.",맛도 있지만 직원이 최고로 친절함!,,,,
1270,어반스테이,테라스 좋고 하이볼 맛집이에요 ㅋㅋㅋ,가성비 좋아요,최고예요,최고예요,좋아요,
1272,불라,좋아요,아늑하고 분위기 좋음! 여행카페. 간단한 식사와 커피 함께 가능.,"- 들어오는 순간, 여행이 그리워진다#",들어온 순간 이 곳은 나의 아지트,여행카페. 쉬는곳,
1275,지유가오카브레드 종각직영점,이사를 했으면 지도 업데이트 좀 —;,,,,,
1276,컴포즈커피 종로3가점,"직원 관리 안하나. 별 하나도 아깝다. 12.17 오후 남자 알바 뭐냐.  개썩은 표정, 일하기 싫다는 게 팍팍 티나네. 주문 받는 손님들 한테도 띠껍고. 퉁명스럽네. 그렇게 알바할거면 왜하는 거냐. 커피 주문하는 나도 기분 더러워지네. ",,,,,
1281,예카페,한적한 정취를 느낄 수 있는 곳! 음악을 골라 듣는곳. 골라 먹는 커피가 좋은곳.,,,,,
1283,커피온리 종로구청점,커피찌꺼기 있는채로 샷내려서 커피 맛이 이상함 한 3번중 1번은 커피찌꺼기맛남,,,,,
1284,커브드마카롱,최고예요,"하도 불로그에서 맛잇대서 혹시나해서 또먹어봣는데 역시 뱉엇어요ㅠㅠ특히 솔티캬라멜, 크림브륄레처럼 캐라멜 류 드시지마세요 ",맛있습니다 프랑스마카롱이에요 커피맛있어요,,,
1285,디초콜릿커피앤드 종로구청점,매장 시원하고 직원도 친절해요. 아이스크림 JMT,좋아요,별로예요,보통이에요,,
1287,작은인디아,밥이 빨리 식으니 빵이 나았으려나? 향신료는 생각날 맛이나 짠 게 있음. 친절했음. 음 저는 일본식 카레에 익숙해서... 음식맛은 쏘쏘 ^^; 분위기 느끼려면 괜찮음. 자리 편함.,아.... 돈내고 왜 갓지 하루의 시작을 진짜 참신하게 말아먹어버린 나의 어제 최악의 선택이자 최고의 오점.... 진짜 맛없음...맛만 없으면 모르겟는ㄷㅔ 진짜 너무 비싸다... 여자2이서 커리먹으면서 5만원 나온거 첨이다.... 치킨도 안 시켯음 커리 하나에 15000 이런 허무맹랑한 가격...맛잇으면 말두안해 진짜 너무해... 0점인데 자리는 편해서 별...,맛보다는 분위기랑 인테리어가 너무 예쁘다,정말 잘 먹었습니다 중간에 먹다 머리카락이 나와서 놀랐지만,보통이에요,
1289,차타임 D-Tower점,최고예요,,,,,
1290,커플이야,저렴하게 반지 구하고 싶으면 추천이지만...  생각보다 별로임,서비스업에 종사하면 안되는 몰지각한 직원이 하나 있음. 자신이 손님에게 서비스를 받겠다는 착각속에 덤으로 월급까지 받아쳐먹으려는 개념없는 직원이 있는데... 사장은 아는지 모르는지. 쯧쯧,"방문했는데 친절하시고 다양한 커플링이 있어서 좋았어요.  매장도 이쁘고 카페 , 쥬얼리도 같이 하고 있더라구요 가운데에 빔도 있고 영상도 나와요!! 신기했어욥!",오랫만에 찾은 마카롱 맛집이네용 ㅎㅎ♥️ 익선동에 완전 잘어울리는 한옥집인데 매장도 엄청크고 깨끗해서 잘구경했어용 커플링도 팔고 쥬얼리도 팔고 구경할게 많아서 남친이랑 재밋게 구경햇네용 익선동 또가게가면 꼭 갈듯 커플링 너무 사고싶엇음.. 짱이쁨 ! ㅠㅠ 다음엔 커플링 마추러갈게영 ㅎㅎ,,
1291,팔공티 종로구청점,여기 주말은 영업안해요,토요일인데 왜 문을 닫은 것인지....,,,,
1292,8b돌체 종로타워점,10시에 안열어요...,보통이에요,,,,
1293,조앤더주스 교보광화문점,아보카도 샌드위치와 스포츠주스 추천,음료는 인정.,"샌드위치에서 머리카락이 나왔는데, 뭐 제대로 된 사과도 없고... 도대체 샌드위치를 무슨 환경에서 만드는 건가요. 정말 더럽습니다.","음료는 괜찮은데, 샌드위치는 빵이 많이 딱딱해요. 만들어뒀다가 내 놓는것 같아요",,
1295,지유명차 종로점,최고예요,최고예요,최고예요,,,
1300,카페제르마이어,"아 가격에 이렇게 맛있는 커피를 마실 수 있다니..,넘 행복해여 ㅠㅠ 마카롱도 너뮤 맛있구  회사근처라 완전 자주 올듯 ㅎㅎ",,,,,
1304,무위낙원,존마탱 ㅜㅜ 시그니처음료 제발 필수 ,최고예요,,,,
1306,커피친구,따뜻한 느낌,최고예요,"가야는이유 : 저가대용량커피집이 즐비한 곳 사이 백발의 주인이 내려주는 원두커피 전문점 안가는이유 : 양 적음, 주말 영업 짧고 쉼, 콘센트자리는 하나뿐  하우스블렌드 : 균형잡힌 맛에서 탄맛이 조금더 있는  이달의 추천, 오늘의 추천이 있으나 할인은 없음 평일 점심은 인근 직장인 많아 피할것",최고예요,20% Markdown Coffee Beans on Last Mon. of Month Esp. Kenya AA,
1311,79더랩,여기 라떼가 넘 맛있어요....ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 요즘 이쪽으로 안가서 못먹는데 딴데서 먹으면 자꾸 여기 라떼 생각나요 ㅠㅠㅠ 하...ㅠㅠㅠ 고소하니 꿀맛 ㅠㅠ,흠.. 남자의 음료 아메리카노 찐하고 맛나다 인테리어가 특이해서 가본집,종로3가역 3번출구 앞 79 THE LAB 커피!!! 맛나다맛나ㅎㅎ오늘 먹은건 홍초 블루베리 에이드😚 6월 말까지 아메리카노 1000원 이벤트!!!!,,,
1312,지유명차 인사점,아늑하고 차분하게 차를 우려주는 지점입니다. 보이차에 대한 설명을 덤이예요. 이런 곳에 이런 장소라니~~~ 단골손님이 많은 곳.,,,,,
1317,태을커피,커피맛이 짱맛있네요,분위기 넘 좋아서 늘가는곳이에용 ㅎㅎ 특히 커피맛이 좋더라구요 카페 인테리어까지 모두 신경쓰신 느낌이 나서 좋아요 ㅎㅎ,그저 그런 쌍화차와 커피. 태을다방의 메뉴는 이었다고 하지만 태을다방이 이곳 어디에 남아있는지는 의문이다.,,,
1318,성북동커피,좋아요,여기 쩜 ㅋㅋㅋㅋㅋ 직접 로스팅까지 해요 강추임  지하 일층에 있어서 잘 모르는데 조용하고 좋아요,,,,
1322,애드리안윤 광화문점,너무 시끄러움,장소좁고 꽃그림때문인지 가격만비싸고 와플 만원은 좀심했음  와플크기도 작고..  인터리어도 별로고.. 다시는 안갈거같음,작고 아담한 카페로 이탈리아 나폴리에서 직접 수입한 원두로 우려낸 커피가 좋았습니다 ^^.,보통이에요,향이 죽이네요,
1323,커피점방,테이크아웃 커피 전문점. 주변 가게에 비해 일찍 문을 닫으므로 참고할 것 (2019/05/09),여긴 진짜 맛있음,Specialty Coffee,지구의 중력으로 만들어지는 드립커피. 굿...,최고예요,
1325,콘레드커피 종로구청점,최고예요,,,,,
1328,피디,정겨워요,,,,,
1329,폼,친절하신 사장님  가격은 저렴한데  커피향은 엄청 진하고 좋아요 :D,정말 맛있는 집,테이크 아웃 인데 고급 커피 맛을 느꼈어요,,,
1332,다정차끓이는솥,조금 아쉬워요,,,,,
1335,킹커피,20190512,최고예요,최고예요,최고예요,,
1342,조각커피,좋아요,,,,,
1343,원두우먼,여자 사장님 눈치 봐가면서 쿠폰 주고 싶으면 주지 마세요 진짜 빈정상해서 다시는 안갑니다 그쪽에 널린게 커피숍인데 ,,,,,
1344,카페아이엠티 GS그랑서울점,저녁시간에 사장님 혼자 계시는데 사장님 진짜 친절하시고 우유거품도 완전 잘만드셔서 커피도 넘 맛있어요 ㅠㅠ 훈남이심,최고예요,,,,
1345,더블유카페 종로관정점,별로예요,,,,,
1351,킹콩쥬스&커피 종각점,조금 아쉬워요,싼맛에 먹기좋고 테이크아웃이 편한곳이에요 앉아서 마실 자리는 없어요,,,,
1358,헤리티지클럽,저도 여기 단골 할래여,저는 꼭 이곳에 단골이 될겁니다!,최고예요,,,
1360,커피베이 종묘위너스점,위치가 복잡한건 둘째치고 공시생을 위해 커피를 타지점보다 싸게판다는 이유로 어플적립및 쿠폰사용 안된다 하는 곳이였음ㅎㅎ.. 왜..죠.?,별로예요,위치개쌉복잡함,,,
1367,인사동사람들,최고예요,송화빙수,저녁먹고 들어가는길 인사동도 저물어 가는시간...,,,
1371,미러볼커피스탠드,"카페라떼, 바닐라라떼 너무 맛있어요. 고소하고 달달해서 자주 찾게 돼요",불친절한건 둘째치고 커피맛도 그닥... ㅋㅋㅋ 여기 근방에 카페 좋은데 많아서 굳이 안찾아가도 될거 같아요 요즘 감성으로 꾸민게 끝입니다 ㅎㅎ,테이크아웃 매장이고 일단 아인슈페너 맛이 좋아요 에스프레소+얼음물+크림 조합도 있는데 전 에스프레소+우유+크림 조합으로 ㅋㅋㅋ 크림이 적당히 달달하고 쫀쫀하구요 다만 공간이 협소한데 출입구 문이 불편해요 시소?처럼 오른쪽을 밀고 들어가면 왼쪽이 대칭으로 밀려 나오는 유리문인데... 안에서 누가 나갈때도 다른 한쪽문이 안쪽으로 밀려들어와서 힙하긴 한데 효율적...,커피는 맛있는데 대기시간이....ㅎㅎ 앞에 10잔 있다해서 한 17분 기다린거같아요... 요즘 코로나 위생 문제에 맞지않게 맨손으로 수저 앞을 ... 집어서 줘서 좀 놀랬어요.,,
1372,오쇼,얼마전에 갔다왔는데요 분위기는 뭐 사주카페라고 해서 어둡고 한게 아니고 밝고 화사하구요 서비스도 친절했고 가격대도 적당하고 오래있어도 눈치 안주시더라구요 사주는 안봤지만 잘 놀다왔어요 ,여기어디??사주카페??오 한번가봐야겟구만. 태어난 시간이랑 이런거 알아보고 가야하나요,맛있구만...ㅋㅋㅋ,"깨끗하고, 선생님 너무 친절하게 상담잘해주시는듯^^* 전 너무 만족했습니다. 종로에갔음 한번정도 가보는것도 좋은거 같네요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ강추 강추 ",추천 ,
1373,정티브루어,보이차 이렇게 좋은 금액에 마시기 힘들어요ㅎ  분위기가 포근하고 예뻐서 좋습니다. ,,,,,
1375,티스토리,쌉싸름합니다.,,,,,
1377,1358카페,눈꽃빙수가 맛있는 저렴한 까페,,,,,
1378,마노핀 종각역점,좋아요,최고예요,좋아요,,,
1389,뮤즈,서울극장 안에 스벅 있는 줄 모르고 들렀다가 가성비에 감동함.  샌드위치는 싼 건 둘째치고 내용물도 많이 들어가고 비싼집보다 맛도 있음. 비싼집하고 같은 가격이어도 이거 먹을듯.. 커피도 싼 가격에 맛나게 먹었음(근데 전 커피 초보라 잘 모름...),,,,,
1391,이미더밸런스,"오색약수, 이미커피, 딸기라떼, 복숭아라떼, 크림라떼, 과일주스가 맛있어요 그중에 베스트는 오색약수!!! 너무 친절하신 직원분들 덕분에 자주 가는 곳이에요",,,,,
1392,보성전통찻집,가격도 좋구맛도 줗구,최고예요,,,,
1394,도눔엑스데오커피,처음알게 된 커피들도 자세히 알려주시고 내리는 방법도 완전 친절하게 보여주셔서 최고..! 가까운 지인들만나면 무조건 데려오고 싶었던 곳이에요!!,커피가 분위가 정말 마음들어요ㅎ,,,,
1396,추억더하기카페,이세상 바이브가 아니다,최고예요,,,,
1397,윈윈커피,"아메리카노 1,000원 가성비 갑!",,,,,
1398,탑크루,조금 아쉬워요,,,,,
1400,심비디움,친절한 사장님과 맛있는 커피가 있는 곳!,후식으로 커피마시기 괜찮네요. 중국관 바로 옆^^ 커피양도 많고 산미도 좋네요.  커피에 덧입혀주시는 바둑판무늬 종이컵이 인상적이예요.,,,,
1411,커피살롱,최고예요,,,,,
1412,해즈빈데어,커피 맛있고 친절합니다. 저렴한 건 덤~,최고예요,,,,
1418,수래연,최고예요,최고예요,,,,
1419,카페잔별,최고예요,,,,,
1432,여기쯤,됴으다,팥빙수,공필화 기법의 멋진 그림과 차가 맛깔나게 어울리는 예쁜 까페입니다. 사장님도 정말 친절하시구요...,,,
1436,더카페 종각점,점원분도 친절하고 커피도 맛있어요!,가격도 대체적으로 저렴하고 사장님이랑 직원분들이 너무 친절하세요! 제일 중요한 맛도 보장,,,,
1438,코너비 청진점,최고예요,,,,,
1464,랑카커피생과일쥬스,최고예요,,,,,
1469,카페이너스,바닐라라떼 짱짱맛!! 진짜 진하고 맛있어요 사장님도 친절하시고 갈 때마다 기분 좋은 곳이에여 ^0^ ,,,,,
1470,종로커피집,커피도 맛있고 주인아주머니도 친절하신 곳! 내부는 다소 좁지만 잠깐 앉아있다 가기에도 나쁘지 않음.,,,,,
1472,카페루미 종로점,다른곳보다 깔끔하니 좋은거같아요 ㅋㅋㅋㅋ,누워서 계속 티비보고 셀프바 이용하면서 여자친구랑 시간보냈네요 룸형식으로 되어있어 마음이 편하네요! 좋아욬ㅋㅋ,편안하고 쉬었다가 가기에 편하더라구요 사장님이 친절하시네요 ㅋㅋ,크리스마스 장식이 이뻤다는...자그마한 크리스마스 마을 장식 갖고 싶던데... 옆방이 좀 시끄러웠지만 그래도 편안했어여,완전 좋아요!!!!! TV보면서 막 떠들어도 눈치 안보이구요 그러다 피곤하면 누워 자도 됩니다 ㅋㅋ 그리구 크리스마스 장식 넘 이뻤어요 >< 반짝거리는 사슴은 집에 데려오고 싶었다는~어쨌든 수다 떨기엔 최고에요ㅋ,
1477,스카이쎄시봉,보통이에요,,,,,
1489,소금인형,유자빙수 등등  인사동에 사면 왠지 들려야 할 것 같은.,정스럽게 꾸며놓고 전혀 정스럽지 않은 가게.  인색하고 서비스 좋지않고 차라리 스타벅스가서 눈치안보고 앉아있는게 낫겠습니다.,,,,
1491,서울첫번째전통찻집,대추차 맛좋다,블루베리차~^3^,,,,
1496,마시다,괜찮아요,,,,,
1498,원앤원 커피에투온 에피소드점,레몬에이드가 맛난집,,,,,
1518,스타벅스 혜화역점,좋아요~,"2층에 넓은 테이블에 자리잡고 공부하는 애들 좀 꺼져라. 전세냈냐? 노트북하고 책 올려놓고 밥먹으러 가는 학생들 진짜 개념없다 ㅋㅋ 저런 예의없는 인간들이 공부한다고;;;; 혼자서 3명 자리 정도 차지하고 자리 없어서 앉으려고 하면 불편하다는듯한 눈빛으로, 여기 새로 생긴곳인데 엄청 시끄럽고 별로다",새로 생겨서 깔끔하고 좋아요,,,
1521,스타벅스 대학로점,최고예요,여기 중년 남성 파트너 한 분 계시는데 불친절해요 매번 갈때마다 신경쓰여요,진짜.. 음료 너무 너무 너무 늦게나오고  크루좀 전체적으로 다 바꿨으면 좋겠어요 여의도에서 시켜먹다가 여기 오니까 뭐 맨날 지각함.. 본사 클레임 넣어도 소용 없는듯 아침에 지각하고싶은 직장인은 여기서 시키시면 돼요 ,최고예요,늘 친절하고 북적이는 곳,
1529,커피빈 혜화역1번출구점,"바닐라라떼 맛집 커피빈,, 여자 직원분인데 너무 친절하셨어요 마감이 10시라고 적혀 있어서 갔는데 9시 마감이었네요 ㅠ_ㅠ ..!!",알바생 인성이 참... 노답 ... 알바생이 바뀌고 ㅈㄴ불친절함 주문도 개엉망으로 받고.. ,,,,
1533,이화중심,조용하고 카페 이쁘네용,사장님 친절하시고 조용한 분위기라 좋아요,최고예요,,,
1547,내일의커피,최고예요,카페의 목적도 좋고 커피 맛도 좋지만 가게 관리가 잘 안되는 느낌이에요. 드립커피 잔에 얼룩도 그렇고 원두 종류를 물어 봤을때 직원이 잘 모르는 것도 비용을 지불하는 입장에서는 아쉽네요..,대학로엔 카페는 많지만 마실 만한 커피를 내는 곳은 드물다. 그런 면에서 내일의 커피는 마실 만한 맛있는 커피를 찾을 수 있는 몇 안 되는 카페이다. 외국인 바리스타 분들의 친절함도 좋으며 날씨 좋으면 외부에서 마시거나 테이크아웃 후 낙산공원에 올라가서 마시면 더 좋은 곳.,최고예요,혜화에서 핸드드립커피 맛있는곳을 드디어 찾음. 드립 최고.... 아인슈페너도 혜화에서는 젤 나음.. ,
1554,이디야커피 대학로점,보통이에요,커피가 너무 연해요...ㅋㅋ,여기 점장인지 사장인지 정말 불친절했습니다 먼저 자리잡고 앉아 있는데 3인고객오니까 강압적인 어조로  자리바꿔달라고 했고요 자기가 책임질것도 아니면서 옆카페에 가서 앉으라고 하네요 이디야가 스벅처럼 직영이 아닌걸 알지만 이것때문에 이디야가 싫어질 정도로 불친절 했었네요 인생 최악의 커피집입니다 퉤,최고예요,양주-혜화동-분당-동선동-혜화 어제부터 지금 이순간~ this is a moment  이동한거리... 지금은 공연 기다리면서... 그러나 공연은 7시라는게 함정. 거기다 자정넘어서 캐스팅이 바꼈다는게 함정. 아오 빡쳐,
1568,브루클린커피 대학로점,커피맛집 인정인정 두번인정 커피 짱맛,커피가 정말 대학로 인근에서 최고의 맛집임,커피가 너무 맛있네요 직접만든 티라미슈도^^,진심 밀크티 최고였음다 어제 옥탑방보고...,좋아요!,
1572,유메미루,매일 10시 오픈이라서 일욜 10시 넘어서 왔는데..헛탕!!,좋아요 :)  _ 고구마라떼 너무 맛있다...,밀푀유 짱짱! 녹차라떼랑 녹차맛 나는 메뉴 대체로 진하고 맛있었다. 재료를 안 아끼시는 듯!,가토쇼콜라가 취향♥.♥ 커피는 좀 묽은 듯? 쿠키도 저렴하고 맛있네요 와 신난다,아기자기한 카페ㅋㅋ케익이 진짜 이쁘던ㅋㅋ여친이 계속 먹어서 돈은 썼지만 확실히 맛있던ㅋ,
1595,정주,"수제케잌 맛나요 당근케잌, 복숭아타르케잌, 티라미슈, 진저라떼, 딸기라떼, 커피 다 맛남 근처가면 또 갈꺼예요~~",좋아요,,,,
1624,방켓,보통이에요,보통이에요,가격이 너무 오름..ㅜ,낙산공원과 이화마을 산책후 찾은 맛집,보통이에요,
1649,블랙라인커피 대학로점,싸고 양많아용 ㅋㅋ 커피도 먹을만 함 가성비! ,좋아요,,,,
1693,곰다방 본점,인스타 갬성카페는 아니지만  레트로도 조음ㅋㅋ 허니브레드 맛있어용 커피도 먹을만,나만 알고 싶네요 ㅋㅋㅋ,좋아요,와플 not bad 견과류를 듬뿍 넣어주는 아포가토가 맛잇었다,곰 고문 현장...;;,
1726,홈스테드 대학로점,완전 맛있어요~살짝 짜긴했지만~^^ 사장님 친절하시고~ 좋았네요~~^^,최고예요,가격대비 브런치가 너무 ... 별로에요 ...,빙수절대먹지마세요 물얼음에다가 완전맛없어요,친절하셔서 좋았습니다 :),
1727,더큐이스케이프 대학로점,테마도 많고 몰입도 잘 돼서 대학로오면 여기는 다시 꼭 와봐야겟어요~ㅋㅋㅋㅋ,친구들이랑 방탈출 갔다 왔는데 여기 스토리가 재미 있네요~친구들이랑 코미디 찍고 왔어요~ㅋㅋㅋㅋ,여기 여자친구랑 한달에 한번씩은 꼭 가는거 같아요 ㅎㅎ 여기가 가장 시설도 깔끔하고 먹거리도 많아서 좋아용 !!,스토리도 재미있어서 몰입이 확되네요ㅋㅋ다음에는 다른 버전으로 해보려구요,방탈출 처음으로 와봤어여ㅋㅋㅋ  주말할인 이용해서 가봤는데 너무 재미있어서 자주 갈꺼 같아요 ㅎㅎ,
1728,모차르트,분위기좋습니다~ 사장님 친절해요,분위기 굿..,좋아요,클래식이 나오고 파니니도맛있구 음료도 맛있다ㅋㅋ,,
1885,카페잇 마로니에공원점,나무 그늘 아래 테라스에서 마로니에공원뷰를 감상하며 마시는 커피는...가히 듀금이다!,,,,,
1897,차연리,백도우롱밀크티 최고...,"실론홍차밀크티, 치즈폼대홍포밀크티, 백도우롱밀크티 다 너무 좋아요... 밀크티 맛집 ㅠㅠㅠㅠ 버블은 안추가하는걸 추천해요 버블없이 먹어야 진정한 맛임 ㅠㅠㅠ",어디서도 먹어보지 못한 새로운 맛,백도우롱밀크티 복숭아향~ 가볍고 조아요  오리지널 밀크티 진하고 향이 좋아요  다른것도 먹어볼 예정  중국분이 일하시고 친절하세용 ,,
1899,더스키앤커피,별로예요,20분걸림^^;;  브랜드있는곳가셔요 그냥,연극보기전 대기장소로는 좋음 다만 커피나 분위기디자인은 그닥,좋아요,조금 아쉬워요,
2013,창신당,최고예요,커피가 너무 맛없어요. 동네에 쫌 괜찮은 까페있나 하고 가봤는데 커피공부좀 더 해주세요. 바닐라라떼는 무조건 시럽으로 달기만 한 커피가 아닙니다.. 정말 싼 너무 달기만한 올해들어 먹은 커피중에 제일 맛없었습니다. 디저트가 그나마 유명한가 싶어서 스콘 먹어봤는데 스콘도 그닥... 다른 디저트도 별로 먹고싶어지지가 않더군요.,"사장님 친절해요~ 블루베리 치즈케익, 초코스콘, 머랭쿠키 다 맛있어요.   머랭쿠키 잘못하면 살짝 비린내 나서 걱정했는데 너무 달지도 않고완맛 !",,,
2042,행복을마시는집,"2007년 12월 10일 오픈 이후로..  한결같은 커피 맛과 저렴한 가격, 그리고 친절한 사람들이 머무는 곳~ 오가는 모든 이를 기억해 주는 곳입니다^^   ",,,,,
2048,커피한상 동묘본점,깔끔하고 좋습니다,분위기도 편안하고 좋아요 ㅎㅎ,사장님의 음악 선곡 센스 짱 ~ 로투스도 주셔서 너무 좋았어요 !!! 가격도 합리적이고 맛도 있었어요୧ʕ•̀ᴥ•́ʔ୨,프랜차이즈 카페보다 훨씬 분위기 좋고 느낌있어요. 사장님이 굉장히 미남이시네요,차분한 인테리어와 음악이 맘에 들어요.  사장님도 친절하시고요.,
2079,커피베이 동대문쇼핑몰점,보통이에요,,,,,
2109,한방카페뜰채,장소는 좁지만 차도 맛있고 친절하셔서 재미있게 놀다왔습니다. 부모님 모셔가면 좋아하실 것 같아요.,,,,,
2132,이디야커피 숭인점,알바생이 친절합니다^^!!!!! ,2층 홀이 있다,,,,
2159,미스터힐링 동대문밀리오레점,다른 지점보다 기계가 더 좋은거 같아요,제가 가본 미스터힐링 매장중에 가장 좋았어요,,,,
2184,카케모치,가죽공방과 함께 카페가 운영되서 분위기 있고 음식 맛 좋고 사장님이 친절하세요^^  ,,,,,
2186,소복 동대문디자인플라자점,설빙보다 맛도. 가성비도 별로.  먹기도 불편하다. ,인절미아이스볼 진짜 맛있었어요!,미숫가루맛 아이스크림,,,
2187,개뿔,뷰맛집 사장님도 친절하세요,서울에서 가장 운치있는카페~!!!  디져트 메뉴가 좀더 다양했으면.~~~,영업시간 금토일 10시 50분까지,좋았다. 사람이 없어 더 좋았는데 테이블 사이 간격이 다소 협소한 편이라 북적일땐 조금 분위기가 떨어질 것 같기도.,"넘 좋아서 3일 간격으로 두 번 다녀왔는데 다음 주에 또 갈 계획입니다. 커피도 맛있어요. 생맥주는 7000원! 전체적으로 가격대가 좀 있는데 뷰 보는 값이라 생각해야죠. 신발 벗고 화장실 들어가는 시스템이 좀 거스기하지만 알바님,직원님들 다 친절해서 저는 만족합니다.",
2191,엔티커피,커피맛과향이 점점 갈때마다 더 좋음! 요일별로 할인해주는 음료도 있는데 골라먹는 재미가 있어요~ 곰젤리도 늘 주심. 다만 라지사이즈가 있으면 하는 바램.,공간이 좋아 자주 다녔지만 직원이 기본매너도 1도 없음. 왜 그 직원을 욕하는지 알겠더군요. 옆 카페베네로 가세요. ,가격 싸고 분위기 좋다,분위기도 좋고 연인끼리 가기도 좋은 카페입니다! 전 만점 짜리 카페인데....,종업원 불친절.종업월들이 나이든 사람들에게 반말하지말라고 시비합니다.주문할때 깍듯이 존댓말을 안쓰면 바로 '반말하셨죠' 합니다.안했다고하면 자기귀로 들었다면서 눈을부릅뜹니다.,
2208,공차 동대문밀리오레점,오 대박적 불친절해 맛은 괜찮,알바생들 불친절해요,펄이 딱딱하고 밀크티에서 우유맛만 남,,,
2263,스타벅스 국립중앙의료원점,저 반신반의하면서 라떼시켰는데 진짜 연하네요,오잉 진짜 연하네요?,별로,직원분들은 무척 친절하신 것 같습니다,벌레가 너무 많네요,
